"Date","Video Views","Profile Views","Likes","Comments","Shares"
"5 de diciembre","0","0","0","0","0"
"6 de diciembre","0","0","0","0","0"
"7 de diciembre","0","0","0","0","0"
"8 de diciembre","0","0","0","0","0"
"9 de diciembre","0","0","0","0","0"
"10 de diciembre","0","0","0","0","0"
"11 de diciembre","0","0","0","0","0"
"12 de diciembre","0","0","0","0","0"
"13 de diciembre","0","0","0","0","0"
"14 de diciembre","0","0","0","0","0"
"15 de diciembre","0","0","0","0","0"
"16 de diciembre","0","0","0","0","0"
"17 de diciembre","0","0","0","0","0"
"18 de diciembre","0","0","0","0","0"
"19 de diciembre","0","0","0","0","0"
"20 de diciembre","0","0","0","0","0"
"21 de diciembre","0","0","0","0","0"
"22 de diciembre","0","0","0","0","0"
"23 de diciembre","0","0","0","0","0"
"24 de diciembre","0","0","0","0","0"
"25 de diciembre","0","0","0","0","0"
"26 de diciembre","0","0","0","0","0"
"27 de diciembre","0","0","0","0","0"
"28 de diciembre","0","0","0","0","0"
"29 de diciembre","0","0","0","0","0"
"30 de diciembre","0","0","0","0","0"
"31 de diciembre","0","0","0","0","0"
"1 de enero","0","0","0","0","0"
"2 de enero","0","0","0","0","0"
"3 de enero","0","0","0","0","0"
"4 de enero","0","0","0","0","0"
"5 de enero","0","0","0","0","0"
"6 de enero","0","0","0","0","0"
"7 de enero","0","0","0","0","0"
"8 de enero","0","0","0","0","0"
"9 de enero","0","0","0","0","0"
"10 de enero","0","0","0","0","0"
"11 de enero","0","0","0","0","0"
"12 de enero","0","0","0","0","0"
"13 de enero","0","0","0","0","0"
"14 de enero","0","0","0","0","0"
"15 de enero","0","0","0","0","0"
"16 de enero","0","0","0","0","0"
"17 de enero","0","0","0","0","0"
"18 de enero","0","0","0","0","0"
"19 de enero","0","0","0","0","0"
"20 de enero","0","0","0","0","0"
"21 de enero","0","0","0","0","0"
"22 de enero","0","0","0","0","0"
"23 de enero","0","0","0","0","0"
"24 de enero","0","0","0","0","0"
"25 de enero","0","0","0","0","0"
"26 de enero","0","0","0","0","0"
"27 de enero","0","0","0","0","0"
"28 de enero","0","0","0","0","0"
"29 de enero","0","0","0","0","0"
"30 de enero","0","0","0","0","0"
"31 de enero","0","0","0","0","0"
"1 de febrero","0","0","0","0","0"
"2 de febrero","0","0","0","0","0"
"3 de febrero","0","0","0","0","0"
"4 de febrero","0","0","0","0","0"
"5 de febrero","0","0","0","0","0"
"6 de febrero","0","0","0","0","0"
"7 de febrero","0","0","0","0","0"
"8 de febrero","0","0","0","0","0"
"9 de febrero","0","0","0","0","0"
"10 de febrero","0","0","0","0","0"
"11 de febrero","0","0","0","0","0"
"12 de febrero","0","0","0","0","0"
"13 de febrero","0","0","0","0","0"
"14 de febrero","0","0","0","0","0"
"15 de febrero","0","0","0","0","0"
"16 de febrero","0","0","0","0","0"
"17 de febrero","0","0","0","0","0"
"18 de febrero","0","0","0","0","0"
"19 de febrero","0","0","0","0","0"
"20 de febrero","0","0","0","0","0"
"21 de febrero","0","0","0","0","0"
"22 de febrero","0","0","0","0","0"
"23 de febrero","0","0","0","0","0"
"24 de febrero","0","0","0","0","0"
"25 de febrero","0","0","0","0","0"
"26 de febrero","0","0","0","0","0"
"27 de febrero","0","0","0","0","0"
"28 de febrero","0","0","0","0","0"
"1 de marzo","0","0","0","0","0"
"2 de marzo","0","0","0","0","0"
"3 de marzo","0","0","0","0","0"
"4 de marzo","0","0","0","0","0"
"5 de marzo","0","0","0","0","0"
"6 de marzo","0","0","0","0","0"
"7 de marzo","0","0","0","0","0"
"8 de marzo","0","0","0","0","0"
"9 de marzo","0","0","0","0","0"
"10 de marzo","0","0","0","0","0"
"11 de marzo","0","0","0","0","0"
"12 de marzo","0","0","0","0","0"
"13 de marzo","0","0","0","0","0"
"14 de marzo","0","0","0","0","0"
"15 de marzo","0","0","0","0","0"
"16 de marzo","0","0","0","0","0"
"17 de marzo","0","0","0","0","0"
"18 de marzo","0","0","0","0","0"
"19 de marzo","0","0","0","0","0"
"20 de marzo","0","0","0","0","0"
"21 de marzo","0","0","0","0","0"
"22 de marzo","0","0","0","0","0"
"23 de marzo","0","0","0","0","0"
"24 de marzo","0","0","0","0","0"
"25 de marzo","0","0","0","0","0"
"26 de marzo","0","0","0","0","0"
"27 de marzo","0","0","0","0","0"
"28 de marzo","0","0","0","0","0"
"29 de marzo","0","0","0","0","0"
"30 de marzo","0","0","0","0","0"
"31 de marzo","0","0","0","0","0"
"1 de abril","0","0","0","0","0"
"2 de abril","0","0","0","0","0"
"3 de abril","0","0","0","0","0"
"4 de abril","0","0","0","0","0"
"5 de abril","0","0","0","0","0"
"6 de abril","0","0","0","0","0"
"7 de abril","0","0","0","0","0"
"8 de abril","0","0","0","0","0"
"9 de abril","0","0","0","0","0"
"10 de abril","0","0","0","0","0"
"11 de abril","0","0","0","0","0"
"12 de abril","0","0","0","0","0"
"13 de abril","0","0","0","0","0"
"14 de abril","0","0","0","0","0"
"15 de abril","0","0","0","0","0"
"16 de abril","0","0","0","0","0"
"17 de abril","0","0","0","0","0"
"18 de abril","0","0","0","0","0"
"19 de abril","0","0","0","0","0"
"20 de abril","0","0","0","0","0"
"21 de abril","0","0","0","0","0"
"22 de abril","0","0","0","0","0"
"23 de abril","0","0","0","0","0"
"24 de abril","0","0","0","0","0"
"25 de abril","0","0","0","0","0"
"26 de abril","0","0","0","0","0"
"27 de abril","0","0","0","0","0"
"28 de abril","0","0","0","0","0"
"29 de abril","0","0","0","0","0"
"30 de abril","0","0","0","0","0"
"1 de mayo","0","0","0","0","0"
"2 de mayo","0","0","0","0","0"
"3 de mayo","0","0","0","0","0"
"4 de mayo","0","0","0","0","0"
"5 de mayo","0","0","0","0","0"
"6 de mayo","0","0","0","0","0"
"7 de mayo","0","0","0","0","0"
"8 de mayo","0","0","0","0","0"
"9 de mayo","0","0","0","0","0"
"10 de mayo","0","0","0","0","0"
"11 de mayo","0","0","0","0","0"
"12 de mayo","0","0","0","0","0"
"13 de mayo","0","0","0","0","0"
"14 de mayo","0","0","0","0","0"
"15 de mayo","0","0","0","0","0"
"16 de mayo","0","0","0","0","0"
"17 de mayo","0","0","0","0","0"
"18 de mayo","0","0","0","0","0"
"19 de mayo","0","0","0","0","0"
"20 de mayo","0","0","0","0","0"
"21 de mayo","0","0","0","0","0"
"22 de mayo","0","0","0","0","0"
"23 de mayo","0","0","0","0","0"
"24 de mayo","0","0","0","0","0"
"25 de mayo","0","0","0","0","0"
"26 de mayo","0","0","0","0","0"
"27 de mayo","0","0","0","0","0"
"28 de mayo","0","0","0","0","0"
"29 de mayo","0","0","0","0","0"
"30 de mayo","0","0","0","0","0"
"31 de mayo","0","0","0","0","0"
"1 de junio","0","0","0","0","0"
"2 de junio","0","0","0","0","0"
"3 de junio","0","0","0","0","0"
"4 de junio","0","0","0","0","0"
"5 de junio","0","0","0","0","0"
"6 de junio","0","0","0","0","0"
"7 de junio","0","0","0","0","0"
"8 de junio","0","0","0","0","0"
"9 de junio","0","0","0","0","0"
"10 de junio","0","0","0","0","0"
"11 de junio","0","0","0","0","0"
"12 de junio","0","0","0","0","0"
"13 de junio","0","0","0","0","0"
"14 de junio","0","0","0","0","0"
"15 de junio","0","0","0","0","0"
"16 de junio","0","0","0","0","0"
"17 de junio","0","0","0","0","0"
"18 de junio","0","0","0","0","0"
"19 de junio","0","0","0","0","0"
"20 de junio","0","0","0","0","0"
"21 de junio","0","0","0","0","0"
"22 de junio","0","0","0","0","0"
"23 de junio","0","0","0","0","0"
"24 de junio","0","0","0","0","0"
"25 de junio","0","0","0","0","0"
"26 de junio","0","0","0","0","0"
"27 de junio","0","0","0","0","0"
"28 de junio","0","0","0","0","0"
"29 de junio","0","0","0","0","0"
"30 de junio","0","0","0","0","0"
"1 de julio","0","0","0","0","0"
"2 de julio","0","0","0","0","0"
"3 de julio","0","0","0","0","0"
"4 de julio","0","0","0","0","0"
"5 de julio","0","0","0","0","0"
"6 de julio","0","0","0","0","0"
"7 de julio","0","0","0","0","0"
"8 de julio","0","0","0","0","0"
"9 de julio","0","0","0","0","0"
"10 de julio","0","0","0","0","0"
"11 de julio","0","0","0","0","0"
"12 de julio","0","0","0","0","0"
"13 de julio","0","0","0","0","0"
"14 de julio","0","0","0","0","0"
"15 de julio","0","0","0","0","0"
"16 de julio","0","0","0","0","0"
"17 de julio","0","0","0","0","0"
"18 de julio","0","0","0","0","0"
"19 de julio","0","0","0","0","0"
"20 de julio","0","0","0","0","0"
"21 de julio","0","0","0","0","0"
"22 de julio","0","0","0","0","0"
"23 de julio","0","0","0","0","0"
"24 de julio","0","0","0","0","0"
"25 de julio","0","0","0","0","0"
"26 de julio","0","0","0","0","0"
"27 de julio","0","0","0","0","0"
"28 de julio","0","0","0","0","0"
"29 de julio","0","0","0","0","0"
"30 de julio","0","0","0","0","0"
"31 de julio","0","0","0","0","0"
"1 de agosto","0","0","0","0","0"
"2 de agosto","0","0","0","0","0"
"3 de agosto","0","0","0","0","0"
"4 de agosto","0","0","0","0","0"
"5 de agosto","0","0","0","0","0"
"6 de agosto","0","0","0","0","0"
"7 de agosto","0","0","0","0","0"
"8 de agosto","0","0","0","0","0"
"9 de agosto","0","0","0","0","0"
"10 de agosto","0","0","0","0","0"
"11 de agosto","0","0","0","0","0"
"12 de agosto","0","0","0","0","0"
"13 de agosto","0","0","0","0","0"
"14 de agosto","0","0","0","0","0"
"15 de agosto","0","0","0","0","0"
"16 de agosto","0","0","0","0","0"
"17 de agosto","0","0","0","0","0"
"18 de agosto","0","0","0","0","0"
"19 de agosto","0","0","0","0","0"
"20 de agosto","0","0","0","0","0"
"21 de agosto","0","0","0","0","0"
"22 de agosto","0","0","0","0","0"
"23 de agosto","0","0","0","0","0"
"24 de agosto","0","0","0","0","0"
"25 de agosto","0","0","0","0","0"
"26 de agosto","0","0","0","0","0"
"27 de agosto","0","0","0","0","0"
"28 de agosto","0","0","0","0","0"
"29 de agosto","0","0","0","0","0"
"30 de agosto","23","0","0","0","1"
"31 de agosto","8","0","0","0","0"
"1 de septiembre","295","0","2","0","0"
"2 de septiembre","1574","7","17","0","0"
"3 de septiembre","550","2","0","0","0"
